size,bedrooms,price
844,2,295110.71
544,4,375028.31
2568,4,971837.62
2014,3,763628.8
3098,5,1200540.33
1501,3,604275.89
1533,3,642531.43
2540,4,974438.92
773,3,366757.46
3147,5,1189345.78
2279,3,788474.18
4976,5,1724756.19
978,3,435780.07
1015,5,565425.47
4786,3,1570792.78
1691,3,632374.72
3168,2,1012649.36
1911,5,811371.65
3780,5,1423017.04
771,5,486722.14
642,1,261391.59
3832,3,1281598.92
1287,5,604631.0
2181,1,679878.45
1122,2,434657.38
4341,5,1512417.42
4176,5,1482668.19
3072,1,959872.79
3760,3,1251581.49
566,2,227326.34
4786,5,1691593.07
1640,3,642917.43
2814,2,959780.6
3032,4,1087391.49
4080,4,1439198.45
1687,2,636686.08
4971,1,1546544.29
3839,2,1239501.27
1048,2,417301.61
4587,1,1412944.25
572,1,205114.33
698,3,373065.21
3701,3,1257518.99
2281,1,758401.91
1071,4,512451.54
1290,4,580176.51
2138,2,730069.78
2331,5,926896.33
2355,2,822788.5
1674,2,645914.23
4240,5,1514355.46
3777,1,1169490.08
678,4,388493.53
2744,2,909605.34
4586,5,1658795.67
1234,3,505830.39
1298,2,477694.66
1287,4,561292.91
3295,1,1044372.98
4804,2,1539855.41
3584,2,1152456.42
3418,5,1257543.41
1231,3,549958.67
1629,3,639354.16
3946,1,1235833.71
2105,4,833613.08
4278,1,1361292.51
3245,2,1052595.71
3670,2,1193072.09
3433,3,1176520.7
1715,4,680076.48
824,5,478877.17
2350,4,925933.5
1990,2,712204.27
1393,5,686641.34
1890,4,755218.2
3889,4,1357386.1
4739,5,1635938.69
4979,2,1612338.69
2763,4,1050833.05
3932,5,1451278.42
2871,2,993381.83
3586,5,1334242.17
4812,5,1724737.64
2015,4,800490.51
3417,2,1089759.79
2852,4,1072814.49
1667,1,514022.22
610,1,236404.04
4827,2,1567206.48
4155,5,1502985.18
4293,4,1533464.86
2255,4,837181.42
2077,2,721442.79
1796,2,639149.11
4274,1,1305317.94
2720,3,942925.34
1472,2,524697.43
1530,3,587007.05
3093,2,1025740.11
4492,5,1585540.7
1413,5,680258.17
2681,1,867288.61
3697,1,1170735.58
1962,3,730397.48
2878,2,969089.51
3954,4,1406902.58
4053,1,1274811.29
1807,4,779279.55
1689,4,726343.58
1187,2,490468.14
1707,3,612253.14
2394,2,820133.52
2311,1,736821.35
3683,4,1302400.41
4297,2,1373000.81
2144,2,751123.99
4468,2,1404232.87
3216,1,1022868.74
690,3,341565.78
1835,2,640492.28
3606,1,1140570.04
878,4,464975.55
4982,5,1765678.42
4329,1,1329309.93
1115,5,582885.89
2830,2,966775.46
2254,2,783423.99
963,1,347411.89
1466,5,711960.86
4767,2,1521975.15
3658,4,1285063.38
4124,3,1398718.09
1189,3,503711.37
3122,2,1059044.07
2712,5,1070995.47
882,2,352132.99
2756,5,1083567.68
4310,4,1474946.01
4003,5,1469838.57
1912,2,645656.95
2083,4,849341.31
871,1,317717.53
1110,3,479708.78
615,2,299766.68
946,2,394026.53
1891,2,693907.63
3824,4,1373621.23
1840,1,609045.81
3439,5,1264264.59
4199,1,1298869.82
1573,4,670467.06
4069,2,1342334.43
3650,3,1235872.27
2105,2,724041.19
2794,5,1125167.01
4162,3,1396514.03
4982,2,1581905.36
1483,3,610432.92
851,1,304177.31
2224,4,839408.02
2451,2,856118.28
1779,5,768759.21
2407,1,772971.71
1524,2,555837.22
1045,1,368102.02
4674,5,1608378.52
2881,2,957598.01
1388,5,688896.74
1605,3,656808.91
3049,5,1144874.19
2490,3,915411.96
4498,2,1434171.4
4275,3,1425009.35
3312,2,1087160.31
1420,2,528176.07
2561,4,988327.33
4987,2,1601391.69
4139,3,1389177.36
